kind,time_ps,tap,safe_d_v,q_v,vdd_sense_v,vdd_safe_v,g_v
q_event,0.000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,2,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,3,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,4,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,5,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,6,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,7,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,8,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,9,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
q_event,0.000000,17,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,16,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,13,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,15,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,14,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,12,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,11,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,10,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,29,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,28,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,27,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,26,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,25,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,24,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,23,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,22,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,21,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,20,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,19,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,0.000000,18,0.950000033,1.099999638,0.950000000,1.100000000,1.100000024
q_event,1422.000000,10,-0.000000000,0.550000012,0.950000000,1.100000000,1.100000024
q_event,1450.000000,11,-0.000000000,0.550000012,0.950000000,1.100000000,1.100000024
q_event,1479.000000,12,-0.000000000,0.550000012,0.950000000,1.100000000,1.100000024
q_event,1508.000000,13,-0.000000000,0.550000012,0.950000000,1.100000000,1.100000024
q_event,1538.000000,14,0.000000000,0.550000012,0.950000000,1.100000000,0.002248103
post_close,1635.000000,0,0.000000000,0.000006014,0.950000000,1.100000000,0.000000000
post_close,1635.000000,1,0.000000000,0.000006014,0.950000000,1.100000000,0.000000000
post_close,1635.000000,2,0.000000000,0.000006015,0.950000000,1.100000000,0.000000000
post_close,1635.000000,3,0.000000000,0.000006015,0.950000000,1.100000000,0.000000000
post_close,1635.000000,4,0.000000000,0.000006016,0.950000000,1.100000000,0.000000000
post_close,1635.000000,5,0.000000000,0.000006017,0.950000000,1.100000000,0.000000000
post_close,1635.000000,6,0.000000000,0.000006017,0.950000000,1.100000000,0.000000000
post_close,1635.000000,7,0.000000000,0.000006018,0.950000000,1.100000000,0.000000000
post_close,1635.000000,8,0.000000000,0.000006018,0.950000000,1.100000000,0.000000000
